"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","0","71","76","6","44.734074","0","84"
"/Paper2D/DefaultSpriteMaterial.DefaultSpriteMaterial","0","87","25","2","55.778534","0","385"
"/OpenXR/Devices/M_XRController.M_XRController","0","36","26","3","168.013840","0","62"
"Globals","0","2666","0","1","0.000000","0","0"
"/Engine/EngineMaterials/PhAT_JointLimitMaterial.PhAT_JointLimitMaterial","0","15","1","1","8.375280","0","53"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","0","7","8","1","4.268068","0","11"
"/Engine/EngineMaterials/M_InvalidLightmapSettings.M_InvalidLightmapSettings","0","24","3","1","101.060707","0","226"
"/Engine/EngineMaterials/EmissiveMeshMaterial.EmissiveMeshMaterial","0","10","5","1","5.214387","0","29"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","0","10","10","1","4.999941","0","15"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","0","2","2","1","1.336226","0","3"
"/OculusVR/Materials/TouchForQuestRiftSControllerMaterial.TouchForQuestRiftSControllerMaterial","0","12","3","1","55.057240","0","41"
"/OculusVR/Materials/touchController_mat.touchController_mat","0","36","3","1","152.621994","0","193"
"/OculusVR/Materials/OculusMR_OpaqueColoredMaterial.OculusMR_OpaqueColoredMaterial","0","2","2","1","1.325506","0","3"
"/OculusVR/Materials/OculusMR_ChromaKey.OculusMR_ChromaKey","0","8","8","1","5.108471","0","11"
"/Engine/EngineDebugMaterials/M_VolumeRenderSphereTracePP.M_VolumeRenderSphereTracePP","0","4","4","1","5.983251","0","5"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeBillboardMaster.SpeedTreeBillboardMaster","0","68","11","1","159.614471","0","672"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeMaster.SpeedTreeMaster","0","94","5","1","249.836212","0","1251"
"/ControlRig/M_Manip.M_Manip","0","15","16","1","6.382545","0","27"
"/Engine/EngineDebugMaterials/WireframeMaterial.WireframeMaterial","0","645","10","1","276.715240","0","27614"
"/Engine/EngineDebugMaterials/VertexColorMaterial.VertexColorMaterial","0","102","7","1","311.044830","0","1302"
"/Engine/EngineMaterials/DefaultMaterial.DefaultMaterial","0","159","2","1","716.313904","0","2989"
"/Engine/ArtTools/RenderToTexture/Materials/Debug/M_Emissive_Color.M_Emissive_Color","0","2","2","1","1.376283","0","2"
"/OculusVR/Materials/PokeAHoleMaterial.PokeAHoleMaterial","0","8","8","1","3.947962","0","8"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","0","8","8","1","4.296195","0","12"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","0","24","4","1","100.742683","0","130"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","0","8","8","1","4.261171","0","9"
"/Engine/VREditor/TransformGizmo/TransformGizmoMaterial.TransformGizmoMaterial","0","2","2","1","1.309623","0","2"
"/Engine/VREditor/TransformGizmo/Xray.Xray","0","12","1","1","50.636864","0","46"
"/Engine/VREditor/TransformGizmo/Main.Main","0","8","8","1","4.222456","0","8"
"/Engine/EngineMaterials/BaseFlattenMaterial.BaseFlattenMaterial","0","50","15","1","98.521881","0","341"
"/Engine/EngineSky/VolumetricClouds/m_SimpleVolumetricCloud.m_SimpleVolumetricCloud","0","52","52","1","135.177155","0","102"
"/Engine/EngineMaterials/DefaultPostProcessMaterial.DefaultPostProcessMaterial","0","8","8","1","3.218482","0","8"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","0","19","19","1","5.202229","0","19"
"/Engine/EngineMaterials/DefaultDeferredDecalMaterial.DefaultDeferredDecalMaterial","0","150","150","1","218.206039","0","150"
